number,value,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_eta,params_gamma,params_lambda,params_max_bin,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_best_iteration,user_attrs_best_score_xgb,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse,state
58,2.0834979260312174,5.698267781313113,0.5994053870941501,50,0.05489969926026192,7.862824215642149,0.8371045452905446,64,4,29.33067674829745,1964,0.8854201653286847,87,2.0834979268495855,0.5387674544956514,1.6295735356013448,0.23703449102233154,2.059462150796185,0.4533647953816852,2.0834979260312174,COMPLETE
59,2.0404072682474856,2.5237259511621377,0.6744707686249051,179,0.08215801938517489,0.7530320526778844,6.037845028748096,512,2,8.594834241565188,2651,0.9682392696470802,581,2.040407263692471,0.5616916306829198,1.5975322247863823,0.26967691924478443,2.014924952486738,0.4881281683507711,2.0404072682474856,COMPLETE
60,2.0740560612831613,18.195195482539035,0.7820715077998646,215,0.0689634174318872,9.111912715422935,0.37899039338895085,128,3,6.031651313130745,1706,0.5783418757022574,287,2.074056051248194,0.5444180630496087,1.6205645354035885,0.2446572238240443,2.0491483569014366,0.4623494542864432,2.0740560612831613,COMPLETE
61,2.032827283473449,2.002077307171782,0.7414276047157325,170,0.09153548939019387,3.747353830186,2.1147782031627966,128,3,3.391098773868686,1540,0.9102763881958829,650,2.0328272744921745,0.5625282436733111,1.5869757726335871,0.2768128917119126,2.005056892105436,0.49821285220938866,2.032827283473449,COMPLETE
62,2.053107647180998,0.7779474274180207,0.7531847400462516,174,0.09539333515636178,3.343412517961156,4.180450627546162,128,5,2.316146716890034,1454,0.9423596968492589,438,2.053107647829304,0.5477188840114878,1.5956696849497667,0.26227800039839166,2.0251058557550716,0.4706826169929198,2.053107647180998,COMPLETE
63,2.0200708700274914,1.671564545166328,0.7270770776920055,161,0.11168242402775323,4.626354310772524,1.613705787171195,128,3,5.221999167344834,1345,0.8234038914067455,581,2.0200708699474004,0.5699647431759421,1.571237104700141,0.28489050847343567,1.9938277366536115,0.5035021437030544,2.0200708700274914,COMPLETE
64,2.016650987603006,0.05377300578078037,0.7181740764400917,149,0.11030222465048695,6.527041856028179,1.433840771405119,128,3,7.296250299699773,1229,0.8248499687585101,581,2.01665098047191,0.5686247998958209,1.5692323167056101,0.2875458303649516,1.9901225850230604,0.49752827617651213,2.016650987603006,COMPLETE
65,2.0104558384030677,0.04232991075128996,0.618308224503431,158,0.1083245733813206,6.601928270557524,1.3701904301195018,128,2,7.494285552508223,1222,0.8258226521741833,1010,2.0104558361941183,0.5732968720491892,1.568764513468824,0.29232501459746785,1.9834364240270197,0.5088689900937449,2.0104558384030677,COMPLETE
66,2.0322112229729896,0.6312410056054663,0.6161999355881712,158,0.11018058273514811,6.599333463235118,0.9628232283114523,128,3,13.365857019819584,912,0.8166306557378342,561,2.032211218241223,0.5603838174266038,1.5764464419667432,0.27620055300552493,2.0059055757611124,0.48932393266542545,2.0322112229729896,COMPLETE
67,2.0322890214409406,0.011579814580112258,0.5854033161427682,139,0.07844823360123564,4.66015556673744,1.3621545642618063,128,2,10.204634088376514,1175,0.8280877742045566,238,2.0322890213161244,0.5632843002453142,1.5828757456359066,0.27588153322433084,2.006347585673766,0.4871497635947731,2.0322890214409406,COMPLETE
68,2.031134643691187,1.2572601154933007,0.6596738579497374,150,0.11909713472981362,7.736545404406696,2.85253349045911,128,4,7.8879081122366586,1029,0.7449850780598355,238,2.0311346383938518,0.559583129803937,1.5754560546309477,0.2781277579303827,2.003233310786381,0.48586031970129584,2.031134643691187,COMPLETE
69,2.037530165744724,3.2651097376273395,0.6190823241383442,115,0.10461848560624772,5.332136848800653,0.645994554924524,256,6,7.018972728127454,786,0.7951474823993784,283,2.03753015956417,0.5553656475255103,1.5813068879225871,0.2741792793491168,2.008704457021616,0.4752258204119451,2.037530165744724,COMPLETE
70,2.045648278829463,2.6718668083891104,0.6440463905746747,132,0.06373607988595963,10.227267318052299,1.2072803715242835,128,3,5.465895622034787,1237,0.8424604588836523,838,2.045648284167877,0.5600831696016223,1.5970475026138198,0.26602387587426013,2.019957948857399,0.500071821983478,2.045648278829463,COMPLETE
71,2.0215645582257267,0.5542563372578745,0.698302272514319,161,0.08485320928600346,6.490767614974388,2.094408076398892,128,2,6.371875811009543,1347,0.7828610637650155,955,2.0215645562745688,0.5695210612198603,1.579013320775201,0.2835273916243317,1.995727114506631,0.5036191415270007,2.0215645582257267,COMPLETE
72,2.0171860638612222,0.5770922747803177,0.6898221523516844,160,0.08525429387976081,5.88818051825022,2.08633455991325,128,2,6.963322640114508,1328,0.7698160731313916,949,2.0171860639076096,0.5699666509437183,1.5724881563681408,0.2875642598175562,1.9900968450466456,0.5025845698653388,2.0171860638612222,COMPLETE
73,2.0388169473806217,0.7413542007083489,0.6915841145674106,160,0.08408007378566372,6.170646003599719,2.345573150226556,128,2,6.4118232968309545,1337,0.7648664936426295,272,2.038816946300564,0.5612539540230254,1.5912075439806166,0.270838175731581,2.013322390828819,0.489022635432397,2.0388169473806217,COMPLETE
74,2.0451058983986456,1.3691075860589672,0.6663122128564831,149,0.0726966253743192,7.875320620069438,1.407844277573671,128,2,13.267358937559015,1112,0.7830622180144826,272,2.0451058975041208,0.5603598788673841,1.5946809235595463,0.2647958476582135,2.021647056018208,0.48841639262953,2.0451058983986456,COMPLETE
