number,value,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_od_wait,params_random_strength,user_attrs_best_iteration,user_attrs_valid_corr,user_attrs_valid_mae,user_attrs_valid_r2,user_attrs_valid_rmse,user_attrs_valid_spearman_corr,user_attrs_valid_weighted_rmse_diagnostic_only,state
23,1.5156205501468947,8.512300088361949,254,5,2265,1.4607205909095997,0.016912767083789814,10,204,8.047281317106256,777,0.7900573138010895,1.2088627867600688,0.6239249673702754,1.5156205501468947,0.7835559747801765,1.517748041866426,COMPLETE
24,1.5183040764556823,7.7129645927141315,254,6,2739,4.679056804829412,0.025562144709042244,16,231,4.881392611215293,632,0.789162507038452,1.20951541289884,0.6225920470892079,1.5183040764556823,0.7843818045053248,1.5193046150669232,COMPLETE
25,1.5154264618055864,9.988139542374535,254,5,2452,2.7652506688373175,0.007881962904911671,6,187,6.470146435897291,1879,0.7900278554959301,1.207226789222187,0.6240212805347659,1.5154264618055864,0.7850069790729509,1.5171086579257376,COMPLETE
26,1.519989669092158,9.055558723634666,254,6,2063,1.6556728500630262,0.013991817866086996,29,215,8.498120044400842,899,0.7886481405199374,1.2124840451921237,0.6217535995074677,1.519989669092158,0.7827647044508796,1.522555300140114,COMPLETE
27,1.5125482183002759,6.970793531328539,254,5,2988,7.076325261453763,0.0407974999576288,10,245,5.5145320918325185,542,0.7909865260300556,1.2019964607546538,0.6254481140567882,1.5125482183002759,0.7870257163311034,1.515190211856937,COMPLETE
28,1.5119146030380697,8.429858955662914,254,3,1870,2.3593815148472577,0.010693713403066194,21,198,3.950558515153296,1604,0.7911569100489599,1.206448758756427,0.6257618522646818,1.5119146030380697,0.78692908441028,1.5134168873162974,COMPLETE
29,1.5090968678479368,1.536390565039115,254,4,2343,3.5990468730953484,0.0584604590270248,1,239,6.483818161355171,318,0.7920086266672622,1.2031141124194382,0.627155477756082,1.5090968678479368,0.7874154039381367,1.5098310266804131,COMPLETE
30,1.525239935910647,1.514516060617714,32,4,2347,3.4803780238023436,0.07655868462033052,1,239,4.845187302827124,225,0.7869486599674312,1.2141494916869195,0.6191360497288511,1.525239935910647,0.7818977412356608,1.5260936235044265,COMPLETE
31,1.5039732513460509,2.0960319771412323,254,5,2589,6.87218988253475,0.053093583250859416,3,228,6.410142241482346,241,0.7936149960902138,1.203119843899177,0.6296829092086105,1.5039732513460509,0.78701692665817,1.5050915333919945,COMPLETE
32,1.5166474208679013,2.045464350466125,254,4,2744,8.095375970421408,0.07428824122165678,4,250,7.531131920060759,273,0.789685431739466,1.2093936510461147,0.6234151943095826,1.5166474208679013,0.7820408821490097,1.5172120848492783,COMPLETE
33,1.5085944904037538,0.9700910826311357,254,4,2533,10.800787236397857,0.08943966603656386,3,214,5.99594090879622,222,0.7922436211814039,1.2007641090005676,0.6274036758733522,1.5085944904037538,0.7870753852473693,1.5093345434781174,COMPLETE
34,1.5186300114168807,0.9145087057208833,64,3,2492,10.892472225528378,0.08860290031601789,4,213,5.977035514878587,221,0.7891435589505174,1.21600793062911,0.6224299930557013,1.5186300114168807,0.7842265323904896,1.5218175879316056,COMPLETE
35,1.5134253537885833,0.2513249695080586,254,4,2270,14.68236089303308,0.054934368793084824,1,210,5.360838166991726,446,0.7906513503995557,1.2059426384749203,0.6250135784744886,1.5134253537885833,0.7864336119998648,1.5131314182816897,COMPLETE
36,1.5048371116287524,3.971209061543424,254,4,1921,8.733402170453939,0.11392760006328458,35,238,5.958932064774261,205,0.7933126493060587,1.1977637646190327,0.6292573775709451,1.5048371116287524,0.7869554715895615,1.5055411104301017,COMPLETE
37,1.5120072017566994,3.8473992830628756,64,4,1633,24.417925002782987,0.11340013149384194,35,172,3.9001847160391137,161,0.7912842003162089,1.2041182948108116,0.6257160096832535,1.5120072017566994,0.7867297912888529,1.5143048418261336,COMPLETE
38,1.54753411840887,3.810936029665511,254,8,1930,8.935246411159564,0.08977348254070414,14,222,2.4128953895336025,137,0.7801019209124448,1.235952196472525,0.6079206253749174,1.54753411840887,0.7759338573479667,1.5493419028494513,COMPLETE
39,1.5260298267324757,2.243105604801413,254,3,1493,6.719810397280383,0.09289136787026267,36,191,4.671512224853546,217,0.7868513897768814,1.2165038408111943,0.6187414641540712,1.5260298267324757,0.7811440631025874,1.5276631357073924,COMPLETE
40,1.5206438296209954,4.350182436652116,254,4,2841,12.850404243145011,0.07035397242820463,34,217,9.848012822511228,310,0.7884364709674727,1.2104023088566436,0.6214279563604446,1.5206438296209954,0.782563068627369,1.5219542041462282,COMPLETE
41,1.5104913611295847,1.2659658200844839,254,4,2089,5.8832056139249955,0.058328901030713906,3,241,5.9821050566963985,261,0.7915867173359513,1.207880578657447,0.6264660993406161,1.5104913611295847,0.7865575209635515,1.5120886021836117,COMPLETE
42,1.5207515090678607,3.216369280882823,254,3,2540,9.690478433117294,0.05071338917477028,33,239,7.902221291697949,490,0.7883394386550108,1.2089744075689113,0.6213743397662574,1.5207515090678607,0.7830963148388201,1.5208679262177924,COMPLETE
43,1.5099969693176716,2.5116789370028263,254,4,2353,17.50348829629474,0.041606436442915604,38,207,7.085157689251842,730,0.7916704211302731,1.2017218561340872,0.6267105785672196,1.5099969693176716,0.7873041165089306,1.51238055985859,COMPLETE
44,1.5241950740666093,0.7078024384308399,64,5,1781,4.579703203868902,0.08131576148209453,30,233,6.009584776488672,173,0.7872272633307532,1.2048569514013603,0.61965769080661,1.5241950740666093,0.7820543753865912,1.527867478620118,COMPLETE
45,1.514420360976593,5.422738388491391,254,4,749,5.761371159432881,0.06206526369419655,2,246,6.783735436361468,289,0.7903394564334513,1.2088361501273113,0.6245203439234072,1.514420360976593,0.7839083425982054,1.516514705043711,COMPLETE
46,1.5208582349147695,1.1042678795073602,128,5,2833,23.674581141106707,0.1183357453200482,5,223,5.154572874024563,222,0.7884078265683594,1.2139880114875268,0.6213211942497687,1.5208582349147695,0.7825657018971528,1.5203924685729873,COMPLETE
47,1.521659177951484,2.8473926704108607,32,4,2186,7.815339463079802,0.03467813024939158,24,237,7.444588850900795,389,0.7880841932522763,1.2159735686913664,0.6209222352797943,1.521659177951484,0.7814952686498153,1.523121175082095,COMPLETE
48,1.5197680836386473,3.5156915562140707,254,3,1362,4.243951012204873,0.047215137522665436,17,199,5.6847133712173905,344,0.7887193907144954,1.2132003905831366,0.6218638736661195,1.5197680836386473,0.7821994957923981,1.5216196599733478,COMPLETE
49,1.5247954412597986,1.8764276010672982,254,6,2863,11.900820717280649,0.06548606969537583,28,176,3.5967749499063153,292,0.7871816916956383,1.2132608490488426,0.6193580047361433,1.5247954412597986,0.7829447837831259,1.5255267648103725,COMPLETE
50,1.522049720414566,4.943372512180388,128,5,2682,14.865512650084503,0.1011497844969241,8,249,0.8030886187510085,125,0.7879533585335242,1.2173812133505322,0.6207276253901459,1.522049720414566,0.7811719212808513,1.5221901160742546,COMPLETE
51,1.5063011941698643,2.4483901555732186,254,4,2342,17.685436884506764,0.04115218578192218,39,209,7.037092800375946,451,0.7929823564215914,1.2000042590452669,0.6285356225779029,1.5063011941698643,0.7887888811363811,1.508478870887153,COMPLETE
52,1.5102495847385007,2.3847149086009964,254,4,2507,38.03041941780959,0.035946916180018516,38,220,8.241683045171396,738,0.7916558715091143,1.2041461765434696,0.6265856689759224,1.5102495847385007,0.7868638156406054,1.512496557066678,COMPLETE
53,1.5111245260867663,1.4621211823335822,254,4,2321,31.890487643625452,0.026784177631950158,40,195,6.209897895191514,1132,0.7913788527522627,1.204996956287834,0.6261528792164675,1.5111245260867663,0.7876329665037186,1.5126365812463127,COMPLETE
54,1.5101787801575932,0.47147990717849275,254,5,2187,17.312016109449257,0.04711171618527624,32,208,6.890944042298599,516,0.7916606351486664,1.2035165633573741,0.6266206815006121,1.5101787801575932,0.7866033216973075,1.511988124933698,COMPLETE
55,1.5169236398555601,0.04013402823885892,254,3,2422,8.852934828380238,0.05651329355739924,37,229,7.360123592910526,376,0.789546105671657,1.2099470878129157,0.6232780110135056,1.5169236398555601,0.7832491897701281,1.5169022278198625,COMPLETE
56,1.5172425644915346,4.396946486201091,32,4,2598,3.4635706814065106,0.03113092931172575,27,217,4.393596928055768,380,0.7894030160110187,1.212972916637575,0.6231195870163507,1.5172425644915346,0.7848078675563365,1.5196830270004125,COMPLETE
57,1.511030226317376,3.300318883096376,254,5,2019,5.1866619802098,0.03939061295897646,13,140,5.037306547277518,357,0.7914393680413813,1.206301372656845,0.6261995366516262,1.511030226317376,0.7871241824605344,1.5129268086790097,COMPLETE
58,1.5301507751534247,2.849193755588823,64,4,466,10.069753389018368,0.08049465078296777,2,233,8.778272257947101,255,0.7857287296405668,1.2168558036981068,0.6166795540581442,1.5301507751534247,0.7800617529005012,1.5301767463181408,COMPLETE
59,1.522608274954044,1.7444153750511564,254,7,2729,49.59155869234472,0.09916150165529024,22,225,5.748035521250978,231,0.7878735653779453,1.212829583168499,0.6204492071827759,1.522608274954044,0.7824738825038655,1.5228736898296031,COMPLETE
60,1.5196696432985253,2.2325618947734838,254,5,1866,13.385666750207866,0.04483735513696771,39,241,6.552375813147308,347,0.7886174209223025,1.2126308010498579,0.6219128583023076,1.5196696432985253,0.7830822949472819,1.5213232408600645,COMPLETE
61,1.5126327608996275,2.497436572811681,254,4,2346,23.576099177248988,0.025140626603441314,38,206,7.157572136949102,1327,0.7909287068820433,1.2031688485563417,0.6254062423668716,1.5126327608996275,0.7865168233250314,1.5134569405422917,COMPLETE
62,1.5162484769474283,3.5056167168748025,254,4,2429,17.697061923791605,0.05233636537421906,36,208,7.752736116142392,488,0.7897462498634954,1.2066536539166317,0.6236132844621014,1.5162484769474283,0.7850998880951143,1.518564243628331,COMPLETE
63,1.5173736768159327,2.7855873365545563,254,4,2624,19.3935786953431,0.03777857482345786,34,181,6.81648156020976,524,0.7894324834010008,1.210425475307026,0.6230544480555005,1.5173736768159327,0.7857360134329447,1.519827493846754,COMPLETE
64,1.514604299805648,2.077117514128689,254,4,2130,15.906198452914083,0.043783217923664686,40,202,6.123596949754539,435,0.7902918723902664,1.2101471607898333,0.6244291281892206,1.514604299805648,0.7841487873701842,1.5146806174277447,COMPLETE
65,1.5202873859584298,5.882913866453904,254,3,2302,6.53134412187346,0.032250158818233024,38,163,5.441862618337392,579,0.7885410617145002,1.2101318310554925,0.6216054124984555,1.5202873859584298,0.7834633381652321,1.520869741220153,COMPLETE
66,1.5099085910351198,2.585570364005829,128,4,2558,11.162592196825292,0.06733018198625526,6,215,7.1013557518545065,463,0.7919366381543216,1.198794017176265,0.6267542736383743,1.5099085910351198,0.7879917812925977,1.511600473002903,COMPLETE
67,1.5160350264393674,1.2647864758977363,128,5,2914,2.4534311269235274,0.06501878590959788,6,230,6.350864217568449,236,0.7900584329994844,1.204822104896278,0.6237192489948762,1.5160350264393674,0.785983831360318,1.5183153059934489,COMPLETE
68,1.5205724424964606,4.176383094572373,128,6,2547,11.695215816326721,0.07030859250733,3,69,6.605232294800062,189,0.7884866708319077,1.2087573638437115,0.6214634999042324,1.5205724424964606,0.782009246590642,1.5207836493303926,COMPLETE
69,1.515108286613122,1.7825108402554415,128,4,2760,1.9771139200325167,0.08265857771890583,5,213,5.6903534724051,142,0.7900905693111233,1.2145478989995615,0.6241791430851935,1.515108286613122,0.781794208331956,1.5147185035816284,COMPLETE
70,1.5355446434034365,0.6517908955333083,128,3,2672,8.554851111676125,0.10624170061449598,1,244,8.35870609315102,336,0.7836773802567543,1.221883198601977,0.6139723382923256,1.5355446434034365,0.7758253121514322,1.5354429810516441,COMPLETE
71,1.508017523337361,2.672635033230435,254,4,2402,14.115134953737558,0.06011674319330866,3,193,7.590214461278977,375,0.7923367439719714,1.1998327463759946,0.6276886228227608,1.508017523337361,0.7888598341366925,1.5113306921066048,COMPLETE
72,1.5125747837112562,3.181481155267693,254,4,2423,10.610922267015326,0.061946300172326725,3,193,7.707477371852258,353,0.7908723849061263,1.205958143118288,0.6254349571708895,1.5125747837112562,0.7856678753072299,1.5144374836066052,COMPLETE
73,1.5181341156777493,3.6299808324550895,128,5,2500,14.092379464401311,0.0737923415325717,8,185,8.054082994600526,228,0.7891492947810098,1.2157464560609588,0.6226765373570806,1.5181341156777493,0.784131371468649,1.5204921830127318,COMPLETE
74,1.509345956143333,2.603828933693954,254,4,2217,9.516498973951744,0.052594791427353675,6,224,7.276527745865686,383,0.7919532194034696,1.199246450842861,0.6270323857624089,1.509345956143333,0.7887752062939868,1.5120349311815766,COMPLETE
